,Country,Industry,Gas_Type,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
411,Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Methane,72.45836058,73.51132685,67.38616272,63.8795403,60.61819164,55.03098174,56.54414794,49.75270821,49.44750988,48.44660978,53.4085461,55.27783616
412,Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Nitrous oxide,9.822980392,9.944723852,10.27598108,9.774981827,9.258528685,9.1722961,8.867335216,8.78209505,8.591734968,7.926144354,8.049352448,8.444681705
413,Europe,Manufacturing,Carbon dioxide,1428.952041,1433.603797,1404.532144,1377.946951,1345.378164,1327.790559,1329.667459,1362.529102,1360.718509,1357.89528,1281.932965,1328.104325
414,Europe,Manufacturing,Fluorinated gases,1.265706967,1.27580326,1.303676134,1.189877037,1.277175128,1.163519431,1.226544689,1.398134569,1.464538223,1.609893135,1.455011636,1.581200627
415,Europe,Manufacturing,Greenhouse gas,1494.338048,1497.342773,1464.892304,1433.257346,1399.487905,1379.877935,1381.436322,1416.671011,1416.971154,1414.956506,1336.428577,1386.15363
416,Europe,Manufacturing,Methane,31.06470386,33.22761876,32.097302,30.12018654,29.82337176,28.22740214,28.31061462,29.89976808,33.01956959,33.27270404,31.78940779,33.92135696
417,Europe,Manufacturing,Nitrous oxide,33.05559667,29.23555341,26.9591813,24.00033192,23.00919425,22.69645389,22.23170358,22.84400575,21.76853631,22.17862887,21.25119314,22.54674761
418,Europe,Mining,Carbon dioxide,116.9729739,116.6850397,114.746004,111.3426385,110.859842,114.1866932,118.5909977,122.2212649,122.388012,123.5626042,115.6062956,121.3867637
419,Europe,Mining,Greenhouse gas,335.7412229,335.9460891,333.7865825,320.8706297,311.2271546,307.2897168,310.7859222,311.6497061,319.9327787,315.6996279,297.394419,317.2589495
420,Europe,Mining,Methane,217.8106202,218.1561536,217.9961747,208.530798,199.3459956,192.0496031,191.1368443,188.3721839,196.4375815,190.9742873,180.6941029,194.7084708
